,OBJECTID,PROVINCIA,DISTRITO,CORREGIMIENTO,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID
178,179,COCLÉ,PENONOMÉ,TOABRE,61.0,0.0,12.0,1.0,0.0,48.0,576822.918178521,965931.899816667,3e9fae54-2310-45d2-b308-d0e48a38a703
179,180,COCLÉ,PENONOMÉ,TULU,2.0,0.0,0.0,0.0,0.0,2.0,567255.716736443,964222.938204773,d99a814f-c29f-42a1-bf46-624fdb87585d
180,181,COLÓN,CHAGRES,ACHIOTE,3.0,0.0,2.0,0.0,0.0,1.0,606584.898104321,1017630.03414175,044e1896-2025-419c-a941-067d5e182da3
181,182,COLÓN,CHAGRES,EL GUABO,1.0,0.0,1.0,0.0,0.0,0.0,601184.674296318,1007493.23149201,e1b88766-4c8a-4f86-bb81-1a99f2ae26f5
182,183,COLÓN,CHAGRES,LA ENCANTADA,,,,,,,593194.161010307,999589.480717474,b3f48024-824a-4184-91b0-58f643bf21de
183,184,COLÓN,CHAGRES,NUEVO CHAGRES (CABECERA),6.0,1.0,4.0,0.0,0.0,1.0,601963.762131587,1021994.24856039,099850c6-4bf9-4a5f-988d-bc37ecbf8bc7
184,185,COLÓN,CHAGRES,PALMAS BELLAS,16.0,1.0,13.0,1.0,0.0,1.0,600715.982838844,1015186.22121362,dbfb6446-5756-458b-a6ef-0dc7e3ceb1e7
185,186,COLÓN,CHAGRES,PIÑA,5.0,1.0,3.0,0.0,0.0,1.0,606975.702825155,1024139.15680072,247d8a78-5858-4156-a92d-d26194264475
186,187,COLÓN,CHAGRES,SALUD,4.0,1.0,3.0,0.0,0.0,0.0,594289.747920103,1011101.22300474,107c9fa5-85aa-48d2-9595-0eafa99a85da
187,188,COLÓN,COLÓN,BARRIO NORTE,235.0,17.0,108.0,11.0,0.0,99.0,620706.527887551,1035104.16164991,c1980ff9-9a08-49ab-ab38-bf01b61fe26b
188,189,COLÓN,COLÓN,BARRIO SUR,143.0,12.0,61.0,7.0,1.0,62.0,621298.889742259,1034079.10762139,3adaccd4-374c-4d3b-bfb6-90075ffb9e35
189,190,COLÓN,COLÓN,BUENA VISTA,297.0,6.0,185.0,5.0,0.0,101.0,644371.254689732,1026530.7553589,29b444ce-0fdd-4eb1-b2f5-f5bd29558cab
190,191,COLÓN,COLÓN,CATIVA,519.0,17.0,270.0,13.0,4.0,215.0,628400.523748038,1035241.19669697,bb14dd48-ddc8-4968-97a4-846e8c589477
191,192,COLÓN,COLÓN,CIRICITO,24.0,1.0,8.0,0.0,0.0,15.0,603516.823983075,997216.450206968,361f2d9a-9e16-4ae7-ba52-8c5a552fe200
192,193,COLÓN,COLÓN,CRISTOBAL,795.0,36.0,351.0,29.0,5.0,374.0,620328.504422157,1031126.21002641,89e5cc8d-7ef0-4deb-b400-1de9837f2020
193,194,COLÓN,COLÓN,CRISTÓBAL ESTE,399.0,14.0,244.0,8.0,2.0,131.0,623637.841260901,1032684.58798333,81db8dbb-564e-4f54-b937-e7079169d911
194,195,COLÓN,COLÓN,ESCOBAL,28.0,1.0,18.0,0.0,0.0,9.0,608997.528176608,1011159.80860907,ed8a6fd6-bb15-4fb5-9676-7779ac0c5c94
195,196,COLÓN,COLÓN,LIMON,61.0,5.0,35.0,2.0,0.0,19.0,636979.693385526,1024151.40027295,80190595-c560-41d8-b8a4-6425699ae511
196,197,COLÓN,COLÓN,NUEVA PROVIDENCIA,84.0,5.0,56.0,3.0,0.0,20.0,631481.044168093,1027770.2586574,20b7b016-5705-40b8-9277-3ee7e3001a80
197,198,COLÓN,COLÓN,PUERTO PILON,205.0,6.0,133.0,2.0,1.0,63.0,637138.416316259,1034530.29616699,f0dd0ddb-804b-4fe7-ae73-52de850eeb81
198,199,COLÓN,COLÓN,SABANITAS,721.0,24.0,369.0,16.0,3.0,309.0,631770.370926286,1032205.19398834,ba72fde7-9469-4e94-9eab-4b4f8d4d9d34
199,200,COLÓN,COLÓN,SALAMANCA,59.0,1.0,25.0,2.0,0.0,31.0,653499.810553476,1037090.84057839,607d9efa-189a-4831-8fd5-c1678ed844c5
200,201,COLÓN,COLÓN,SAN JUAN,376.0,5.0,152.0,6.0,0.0,213.0,649710.029665633,1021783.71203383,9bc048c4-bdda-4d27-8214-a6b999a90472
201,202,COLÓN,COLÓN,SANTA ROSA,11.0,0.0,9.0,0.0,0.0,2.0,645065.627344429,1017868.09932453,d9aa438a-9ccc-40b9-9918-bbdd895a6a41
202,203,COLÓN,DONOSO,COCLE DEL NORTE,1.0,0.0,0.0,1.0,0.0,0.0,538954.950298451,985048.391157786,6b6cf9a7-567f-4af4-adfe-976f400bde48
203,204,COLÓN,DONOSO,EL GUASIMO,1.0,0.0,0.0,0.0,0.0,1.0,573182.77274022,994894.133317526,10967d77-a551-4aa2-b3ee-c3c4354d28a4
204,205,COLÓN,DONOSO,GOBEA,,,,,,,584759.150512961,1009387.72546702,1eb68c06-a1f6-4331-aad8-8001565a77eb
205,206,COLÓN,DONOSO,MIGUEL DE LA BORDA (CABECERA),1.0,0.0,1.0,0.0,0.0,0.0,568997.353529828,1005103.9248436,b32d8dca-15ad-4d01-b059-1d479bbbeae6
206,207,COLÓN,DONOSO,RIO INDIO,1.0,0.0,0.0,1.0,0.0,0.0,588213.553169511,1002378.67889203,d2b45e13-252b-418a-868d-266f346a6c89
207,208,COLÓN,OMAR TORRIJOS HERRERA,NUEVA ESPERANZA,170.0,0.0,1.0,3.0,0.0,166.0,542800.944907221,982581.229203234,50f79e00-2a2b-4617-8edb-274e9c6d77e9
208,209,COLÓN,OMAR TORRIJOS HERRERA,SAN JOSE DEL GENERAL,4.0,0.0,0.0,0.0,0.0,4.0,547677.287582031,981120.712008764,24d508c0-160e-4634-bb37-e7010bb450e9
209,210,COLÓN,OMAR TORRIJOS HERRERA,SAN JUAN DE TURBE,,,,,,,541207.695870737,973754.114125993,dd881bed-5bca-41ef-8c50-63b0a8ae6a78
210,211,COLÓN,PORTOBELO,CACIQUE,,,,,,,650179.869080479,1060986.5645275,46c8babe-addb-4bfa-afc3-27643c7b3b98
211,212,COLÓN,PORTOBELO,ISLA GRANDE,,,,,,,659280.608155147,1061319.22932452,f2790ad6-65b5-4cb8-9c0d-d6fde00f1795
212,213,COLÓN,PORTOBELO,MARIA CHIQUITA,14.0,0.0,8.0,0.0,0.0,6.0,640610.499647323,1040191.39193614,3567207b-09cc-4af3-808f-baa1d20b5f64
213,214,COLÓN,PORTOBELO,PORTOBELO (CABECERA),61.0,0.0,37.0,2.0,0.0,22.0,650284.819804375,1050578.07669544,2f089b47-d8d0-4ae1-8610-c1d26ef05a2f
214,215,COLÓN,PORTOBELO,PUERTO LINDO O GARROTE,1.0,0.0,1.0,0.0,0.0,0.0,655433.564691373,1060043.45078762,8e9de34e-9fde-4155-b89d-69f8ce138bf6
215,216,COLÓN,SANTA ISABEL,CUANGO,1.0,0.0,1.0,0.0,0.0,0.0,684652.517030764,1052793.68666531,6edd1b72-cf37-4cca-b79e-44cd2229b737
216,217,COLÓN,SANTA ISABEL,MIRAMAR,1.0,0.0,1.0,0.0,0.0,0.0,682148.778170613,1056866.91001385,6e3fe110-1c4b-4ad7-9fd2-4e8c4546ab0d
