r0;Comuna;Fecha;DIA;Nuevos Confirmados;Nuevos Fallecidos;Nuevos Recuperados;Población
1,9;Tolé;43994;8;0;0;0;12344
1,9;Tolé;43995;9;0;0;0;12344
1,4;Tolé;43996;10;2;0;6;12344
1,4;Tolé;43997;11;0;0;0;12344
1,4;Tolé;43998;12;2;0;0;12344
1,4;Tolé;43999;13;0;0;0;12344
1,3;Tolé;44000;14;6;0;0;12344
1,3;Tolé;44001;15;1;0;0;12344
1,2;Tolé;44002;16;4;0;0;12344
NA;Tonosí;43988;2;0;0;0;9631
0;Tonosí;43989;3;0;0;0;9631
0;Tonosí;43990;4;0;0;0;9631
6;Tonosí;43991;5;5;0;1;9631
6;Tonosí;43992;6;0;0;0;9631
6;Tonosí;43993;7;0;0;0;9631
6;Tonosí;43994;8;0;0;0;9631
5,7;Tonosí;43995;9;2;0;0;9631
5,5;Tonosí;43996;10;2;0;0;9631
5,3;Tonosí;43997;11;2;0;0;9631
5,2;Tonosí;43998;12;2;0;0;9631
5,3;Tonosí;43999;13;0;0;0;9631
5;Tonosí;44000;14;4;0;0;9631
4,9;Tonosí;44001;15;1;1;0;9631
5;Tonosí;44002;16;0;0;0;9631
